RELIANCE , SBIN, ASIANPAINT, TATAMOTORS,CIPLA 
2250.8,193.55,2090.9,141.85,790.5
2243.0,193.55,2087.8,141.9,790.5
2246.9,193.55,2087.8,141.9,790.5
2246.9,193.55,2087.8,141.9,790.5
2243.0,193.55,2087.8,141.9,790.5
2243.0,193.45,2087.8,141.9,790.5
2243.0,193.4,2087.8,141.9,790.5
2246.9,193.4,2087.8,141.85,790.5
2243.0,193.4,2087.8,141.9,792.0
2243.0,193.4,2087.8,141.9,792.0
2243.0,193.4,2087.8,141.9,792.0
2243.0,193.4,2087.8,141.9,792.0
2243.0,193.4,2087.8,141.9,792.0
2245.95,193.4,2087.8,141.9,792.0
2245.95,193.4,2089.25,141.9,792.0
2245.95,193.45,2089.25,141.9,792.0
2245.95,193.45,2089.25,141.9,792.0
2245.95,194.1,2089.25,141.9,792.0
2245.95,194.1,2089.25,141.9,792.0
2245.95,194.1,2089.25,141.9,792.0
2245.95,194.1,2089.25,141.9,792.0
2245.95,194.1,2089.25,142.0,788.35
2245.95,194.1,2089.25,142.0,788.35
2245.95,194.1,2089.25,142.0,788.35
